"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV975","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"ASV976","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"ASV977","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula","s__emetica"
"ASV978","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV979","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV980","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae",NA,NA
"ASV981","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"ASV982","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales",NA,NA,NA
"ASV983","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__macrocystis"
"ASV984","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV985","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__grayi"
"ASV986","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__alliacea"
"ASV987","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Pezoloma","s__ericae"
"ASV988","k__Fungi","p__Ascomycota","c__GS37","o__GS37",NA,NA,NA
"ASV989","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV990","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__angularis"
"ASV991","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"ASV992","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV993","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV994","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea",NA
"ASV995","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"ASV996","k__Fungi","p__Basidiomycota","c__Spiculogloeomycetes",NA,NA,NA,NA
"ASV997","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV998","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Naohideales",NA,NA,NA
"ASV999","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS06",NA,NA,NA
"ASV1000","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales",NA,NA,NA
"ASV1001","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV1002","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__podzolica"
"ASV1003","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV1004","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1005","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV1006","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea","s__fallax"
"ASV1007","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Lycoperdon","s__nigrescens"
"ASV1008","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae",NA,NA
"ASV1009","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1010","k__Fungi","p__Chytridiomycota","c__Synchytriomycetes","o__Synchytriales","f__Synchytriaceae","g__Synchytrium",NA
"ASV1011","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV1012","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1013","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1014","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1015","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__bufonia"
"ASV1016","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV1017","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales",NA,NA,NA
"ASV1018","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1019","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV1020","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV1021","k__Fungi","p__Basidiomycota","c__Spiculogloeomycetes",NA,NA,NA,NA
"ASV1022","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1023","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"ASV1024","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Amphosoma","s__persooniae"
"ASV1025","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"ASV1026","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__GS22",NA,NA,NA
"ASV1027","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Udeniomyces",NA
"ASV1028","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormiella",NA
"ASV1029","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS10",NA,NA,NA
"ASV1030","k__Fungi","p__Basidiomycota","c__Spiculogloeomycetes",NA,NA,NA,NA
"ASV1031","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae",NA,NA
"ASV1032","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1033","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae",NA,NA
"ASV1034","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV1035","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Hyaloscypha",NA
"ASV1036","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea","s__fallax"
"ASV1037","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Pezicula","s__melanigena"
"ASV1038","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Squamanita","s__contortipes"
"ASV1039","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"ASV1040","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina","s__calyptrata"
"ASV1041","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Kriegeriaceae","g__Phenoliferia","s__psychrophila"
"ASV1042","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV1043","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Hebeloma","s__cavipes"
"ASV1044","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron","s__flavum"
"ASV1045","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1046","k__Fungi","p__Chytridiomycota","c__Synchytriomycetes","o__Synchytriales","f__Synchytriaceae","g__Synchytrium",NA
"ASV1047","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__cystojenkinii"
"ASV1048","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV1049","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Squamanita",NA
"ASV1050","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV1051","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__horticola"
"ASV1052","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV1053","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"ASV1054","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV1055","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__badia"
"ASV1056","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__saturninus"
"ASV1057","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV1058","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV1059","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales",NA,NA,NA
"ASV1060","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Phialocephala","s__fortinii"
"ASV1061","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Pezizella",NA
"ASV1062","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1063","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1064","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA
"ASV1065","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS06",NA,NA,NA
"ASV1066","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Lycoperdon",NA
"ASV1067","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__Branch01",NA,NA,NA
"ASV1068","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1069","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1070","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1071","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales",NA,NA,NA
"ASV1072","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Sarcinomyces",NA
"ASV1073","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae",NA,NA
"ASV1074","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1075","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV1076","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV1077","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV1078","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__angularis"
"ASV1079","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV1080","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales",NA,NA,NA
"ASV1081","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Phialocephala",NA
"ASV1082","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1083","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV1084","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1085","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Mollisia","s__cinereo-olivascens"
"ASV1086","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","g__Cystobasidiopsis",NA
"ASV1087","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Infundichalara",NA
"ASV1088","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV1089","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA
"ASV1090","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"ASV1091","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1092","k__Fungi","p__Mucoromycota","c__Endogonomycetes",NA,NA,NA,NA
"ASV1093","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Hygrocybe","s__salicis-herbaceae"
"ASV1094","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1095","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"ASV1096","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae",NA,NA
"ASV1097","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Tremellodendropsidales",NA,NA,NA
"ASV1098","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1099","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1100","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__hiemalis"
"ASV1101","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"ASV1102","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales",NA,NA,NA
"ASV1103","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__alpinus"
"ASV1104","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"ASV1105","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV1106","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__hiemalis"
"ASV1107","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV1108","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1109","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactarius","s__mammosus"
"ASV1110","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Chromosera","s__xanthochroa"
"ASV1111","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__cystojenkinii"
"ASV1112","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV1113","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae",NA,NA
"ASV1114","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1115","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales",NA,NA,NA
"ASV1116","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"ASV1117","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV1118","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1119","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"ASV1120","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales",NA,NA,NA
"ASV1121","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanoromycetes_ord_Incertae_sedis","f__Micropeltidaceae",NA,NA
"ASV1122","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1123","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"ASV1124","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1125","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__angularis"
"ASV1126","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1127","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV1128","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Basidioascus",NA
"ASV1129","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","g__Rhizophydium",NA
"ASV1130","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae",NA,NA
"ASV1131","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV1132","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV1133","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1134","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1135","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron",NA
"ASV1136","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__alliacea"
"ASV1137","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"ASV1138","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__badia"
"ASV1139","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1140","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1141","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__Branch01",NA,NA,NA
"ASV1142","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"ASV1143","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1144","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae",NA,NA
"ASV1145","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__GS29",NA,NA,NA
"ASV1146","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV1147","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Neolauriomycetaceae","g__Neolauriomyces","s__eucalypti"
"ASV1148","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Amanitaceae","g__Amanita","s__friabilis"
"ASV1149","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV1150","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV1151","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV1152","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV1153","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"ASV1154","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"ASV1155","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Trapeliales","f__Trapeliaceae","g__Placynthiella","s__dasaea"
"ASV1156","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbilia",NA
"ASV1157","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea",NA
"ASV1158","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Basidioascus",NA
"ASV1159","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"ASV1160","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV1161","k__Fungi","p__Basidiomycota","c__Spiculogloeomycetes",NA,NA,NA,NA
"ASV1162","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV1163","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Sclerococcaceae","g__Sclerococcum",NA
"ASV1164","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__basiparvispora"
"ASV1165","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV1166","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV1167","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,NA,NA
"ASV1168","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudogymnoascus","s__roseus"
"ASV1169","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1170","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormiella","s__intermedia"
"ASV1171","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Kriegeriaceae","g__Phenoliferia","s__psychrophila"
"ASV1172","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__fulvopaludosus"
"ASV1173","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV1174","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria",NA
"ASV1175","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1176","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV1177","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1178","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Ascocoryne",NA
"ASV1179","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV1180","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales",NA,NA,NA
"ASV1181","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Goffeauzyma",NA
"ASV1182","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Pezicula","s__melanigena"
"ASV1183","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbilia",NA
"ASV1184","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV1185","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Lichenomphalia","s__umbellifera"
"ASV1186","k__Fungi","p__Mucoromycota","c__Endogonomycetes",NA,NA,NA,NA
"ASV1187","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae",NA,NA
"ASV1188","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV1189","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1190","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Phaeotheca","s__shathenatiana"
"ASV1191","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1192","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Leptodontidium",NA
"ASV1193","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales",NA,NA,NA
"ASV1194","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__ramanniana"
"ASV1195","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1196","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina",NA
"ASV1197","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Mollisia","s__cinereo-olivascens"
"ASV1198","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae",NA,NA
"ASV1199","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV1200","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales",NA,NA,NA
"ASV1201","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV1202","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1203","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Cryptodiscus",NA
"ASV1204","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV1205","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria",NA
"ASV1206","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV1207","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"ASV1208","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV1209","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV1210","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV1211","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1212","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__robertii"
"ASV1213","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV1214","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","g__Cystobasidiopsis","s__lophatheri"
"ASV1215","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Luellia",NA
"ASV1216","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__horticola"
"ASV1217","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1218","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV1219","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Hyphodontiella",NA
"ASV1220","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales","f__Geoglossaceae",NA,NA
"ASV1221","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1222","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea",NA
"ASV1223","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV1224","k__Fungi",NA,NA,NA,NA,NA,NA
