Run_Sample_Name,Sample Name Given from pH measurements,Sample Processing #_SOIL BAGS,Plot,Year,Sample_type,Status,Vegetation,TOC,TN,Run,Date / Time,SampleRemaining,Dilution_Factor,Soil_dry_weight,TOC_adj,TN_adj
223,79,18,HE4,2020,BSC,Healthy,Empetrum,142.1,3.23,5,2023-01-23 20:54,NSL,20,3.56,798.3146067,18.15730337
223(5),79,18,HE4,2020,BSC,Healthy,Empetrum,632.8,13.7,5,2023-01-23 21:06,NSL,4,3.56,711.011236,15.39325843
224,80,14,BE7,2020,BSC,Browning,Empetrum,203.5,4.57,5,2023-01-23 18:21,NESL,20,5.05,805.9405941,18.0990099
225,58,25,BE4,2020,BSC,Browning,Empetrum,186.8,4.88,5,2023-01-24 0:24,NSL,20,4.65,803.4408602,21.00645161
226,63,8,BE-BDC,2020,BDC,Browning,Empetrum,169.6,5.4,5,2023-01-23 19:26,Y,20,5.06,670.3557312,21.32806324
227,56,27,HC3,2020,BSC,Healthy,Cassiope,159.2,4.95,5,2023-01-24 1:16,NSL,20,4.71,676.0084926,21.03184713
228,74,11,HC6,2020,BSC,Healthy,Cassiope,124.3,2.21,5,2023-01-24 0:46,NSL,20,3.63,684.8484848,12.19834711
229,57,10,HC7,2020,BSC,Healthy,Cassiope,73.48,4.15,5,2023-01-23 21:59,Y,20,5.02,292.749004,16.52191235
229(5),57,10,HC7,2020,BSC,Healthy,Cassiope,297.6,16.36,5,2023-01-23 21:48,Y,4,5.02,237.1314741,13.03585657
230,206,180,HC3,2022,BSC,Healthy,Cassiope,42.71,1.37,5,2023-01-23 22:30,NSL,20,2.38,358.907563,11.47058824
231,69,28,HC4,2020,BSC,Healthy,Cassiope,67.57,1.39,5,2023-01-23 22:40,NSL,20,2.33,580,11.9055794
232,72,31,BC1,2020,BSC,Browning,Cassiope,118.4,6.75,5,2023-01-24 0:03,Y,20,5.02,471.7131474,26.87250996
