Variable	Description	Units	Method / Notes	Appears in
Difference	Mass of organic matter lost during combustion.	g	Calculated as Dry_soil_weight_g ? burn_soil_weight_g.	Browning_lab_SOM.csv
LOI	"Loss-on-ignition, representing soil organic matter content."	%	Calculated as (Difference ÷ Dry_soil_weight_g) × 100.	Browning_lab_SOM.csv
TOC	Total dissolved organic carbon concentration.	mg L?¹	Measured as non-purgeable organic carbon using a Shimadzu TOC-L analyzer.	Browning_lab_TOC_TN_v2.csv
TN	Total dissolved nitrogen concentration.	mg L?¹	Measured using a Shimadzu TNM-L unit.	Browning_lab_TOC_TN_v2.csv
SampleRemaining	Availability of sample following TOC/TN analysis.	–	"Indicates whether sample remained after analysis (e.g., Yes, NSL = No Sample Left, NESL = Nearly/Not Enough Sample Left, if applicable)."	Browning_lab_TOC_TN_v2.csv
Dilution_Factor	Dilution factor applied prior to analysis.	–	Multiplicative dilution applied to the sample before TOC/TN analysis. A value of 1 indicates no dilution.	Browning_lab_TOC_TN_v2.csv
Soil_dry_weight	Oven-dry mass of soil used for extraction.	g	Dry soil mass used to standardize TOC and TN concentrations.	Browning_lab_TOC_TN_v2.csv
TOC_adj	Total dissolved organic carbon standardized to dry soil mass.	mg L?¹ g?¹ dry soil	"Calculated from TOC, dilution factor, and dry soil weight. Used in downstream statistical analyses."	Browning_lab_TOC_TN_v2.csv
TN_adj	Total dissolved nitrogen standardized to dry soil mass.	mg L?¹ g?¹ dry soil	"Calculated from TN, dilution factor, and dry soil weight. Used in downstream statistical analyses."	Browning_lab_TOC_TN_v2.csv
Temp_1	Soil temperature measurement 1	°C	Handheld measurement to approximately 5 cm soil depth. One of four measurements collected within the plot on each sampling day.	Browning_SM_ST.csv
Temp_2	Soil temperature measurement 2	°C	Handheld measurement to approximately 5 cm soil depth. One of four measurements collected within the plot on each sampling day.	Browning_SM_ST.csv
Temp_3	Soil temperature measurement 3	°C	Handheld measurement to approximately 5 cm soil depth. One of four measurements collected within the plot on each sampling day.	Browning_SM_ST.csv
Temp_4	Soil temperature measurement 4	°C	Handheld measurement to approximately 5 cm soil depth. One of four measurements collected within the plot on each sampling day.	Browning_SM_ST.csv
SM_1	Soil moisture sensor reading 1	Sensor units	One of four handheld soil moisture measurements collected within the plot on each sampling day. Raw sensor output used to calculate volumetric soil water content (SWC).	Browning_SM_ST.csv
SM_2	Soil moisture sensor reading 2	Sensor units	One of four handheld soil moisture measurements collected within the plot on each sampling day. Raw sensor output used to calculate volumetric soil water content (SWC).	Browning_SM_ST.csv
SM_3	Soil moisture sensor reading 3	Sensor units	One of four handheld soil moisture measurements collected within the plot on each sampling day. Raw sensor output used to calculate volumetric soil water content (SWC).	Browning_SM_ST.csv
SM_4	Soil moisture sensor reading 4	Sensor units	One of four handheld soil moisture measurements collected within the plot on each sampling day. Raw sensor output used to calculate volumetric soil water content (SWC).	Browning_SM_ST.csv
V	Mean normalized soil moisture sensor output.	–	Calculated as the mean of the four raw sensor readings divided by 1000 prior to calibration.	"Browning_SM_ST.csv, curated_flux.csv"
SWC	Volumetric soil water content.	m³ m?³	Calculated from V using the manufacturer's calibration equation for the handheld soil moisture probe.	"Browning_SM_ST.csv, curated_flux.csv"
Date	Date of qPCR analysis	YYYY-MM-DD	Date the samples were processed and analyzed in the laboratory.	qPCR_Browning_recalc.csv
Well_No	qPCR plate well identifier	–	Position of the sample on the qPCR plate.	qPCR_Browning_recalc.csv
Gene	Target gene quantified by qPCR	–	Either the bacterial 16S rRNA gene or the fungal 18S rRNA gene.	qPCR_Browning_recalc.csv
Name	Unique plot identifier	–	"Corresponds to the field plot from which the soil sample was collected.
Also referred to as Plot and Plot_no"	qPCR_Browning_recalc.csv
Ct	Quantification cycle (Ct) value	Cycles	Cycle threshold determined during qPCR amplification. Lower Ct values indicate greater abundance of the target gene.	qPCR_Browning_recalc.csv
Concentration	Estimated target gene concentration in the qPCR reaction	Gene copies ?L?¹	Calculated from the qPCR standard curve.	qPCR_Browning_recalc.csv
Working_concentration	DNA working solution concentration used for qPCR	ng ?L?¹	DNA template concentration after dilution prior to qPCR analysis.	qPCR_Browning_recalc.csv
